time,total_free_energy,solid_fraction
0.0100000000,2122260.0907343589,0.0000536020
0.0300000000,2122254.9108078806,0.0000544279
0.0700000000,2122245.6700055269,0.0000560075
0.1500000000,2122228.9690302452,0.0000590218
0.3100000000,2122199.1537694237,0.0000647108
0.6300000000,2122151.1020968151,0.0000746083
1.2700000000,2122075.8955813334,0.0000904406
2.5500000000,2121943.4565542741,0.0001158464
3.1900000000,2121886.4364099507,0.0001267436
4.4700000000,2121778.9676234471,0.0001451523
5.7500000000,2121675.7806002619,0.0001614068
8.3100000000,2121472.4257590878,0.0001909295
9.5900000000,2121374.2392072938,0.0002046656
12.1500000000,2121181.6274999566,0.0002309196
13.4300000000,2121086.3507883144,0.0002432971
15.9900000000,2120890.9195187604,0.0002678793
17.2700000000,2120792.6715248530,0.0002800232
19.8300000000,2120599.1240798314,0.0003048103
21.1100000000,2120502.5191992531,0.0003171770
23.6700000000,2120307.4826474115,0.0003428703
24.9500000000,2120210.0703755207,0.0003556612
27.5100000000,2120016.1126830881,0.0003809852
28.7900000000,2119917.4447374931,0.0003934641
31.3500000000,2119717.0341039435,0.0004188331
33.9100000000,2119516.2344965898,0.0004442052
36.4700000000,2119313.7362661362,0.0004696797
41.5900000000,2118891.8454922629,0.0005250928
44.1500000000,2118676.5345015852,0.0005527101
46.7100000000,2118459.0162845273,0.0005806132
49.2700000000,2118242.6740993094,0.0006086628
51.8300000000,2118025.3886879892,0.0006367857
56.9500000000,2117579.4190353449,0.0006964394
59.5100000000,2117353.3465527399,0.0007256181
64.6300000000,2116886.7939317469,0.0007862921
67.1900000000,2116649.9709984930,0.0008160070
69.7500000000,2116410.4618190080,0.0008458323
72.3100000000,2116171.4405446649,0.0008758884
74.8700000000,2115933.6929873442,0.0009058695
79.9900000000,2115444.6601246642,0.0009700082
82.5500000000,2115198.8820309732,0.0010016842
87.6700000000,2114689.1117254999,0.0010684286
90.2300000000,2114431.7035825076,0.0011012680
92.7900000000,2114170.9418625692,0.0011342301
95.3500000000,2113909.5766391563,0.0011672791
97.9100000000,2113649.4270632816,0.0012000026
103.0300000000,2113113.1691142689,0.0012693888
